drug_substance	drug_class
Nateglinide	Glinide
Chlorpropamide	SU
Glibenclamide	SU
Gliclazide	SU
Glipizide	SU
Gliquidone	SU
Glimepiride	SU
Tolbutamide	SU
Metformin	MFN
Acarbose	Acarbose
Repaglinide	Glinide
Rosiglitazone	TZD
Pioglitazone	TZD
Sitagliptin	DPP4
Saxagliptin	DPP4
Dapagliflozin	SGLT2
Canagliflozin	SGLT2
Vildagliptin	DPP4
Liraglutide	GLP1
Linagliptin	DPP4
Lixisenatide	GLP1
Alogliptin	DPP4
Empagliflozin	SGLT2
Dulaglutide	GLP1
Albiglutide	GLP1
Semaglutide	GLP1
Ertugliflozin	SGLT2
Acetohexamide	SU
Glymidine	SU
Grenamide	SU
Tolazamide	SU
Troglitazone	TZD
Exenatide prolonged-release	GLP1
Exenatide	GLP1
Basal insulin	INS
Intermediate insulin	INS
Bolus insulin	INS
